anime_id,title,title_japanese,image_url,type,source,episodes,status,aired_string,duration,rating,score,scored_by,rank,popularity,studio,genre
21419,Detective Conan Movie 18: The Sniper from Another Dimension,名探偵コナン　異次元の狙撃手（スナイパー）,https://myanimelist.cdn-dena.com/images/anime/11/60289.jpg,Movie,Manga,1,Finished Airing,"Apr 19, 2014",1 hr. 50 min.,G - All Ages,8.21,10575,302.0,2751,TMS Entertainment,"Action, Mystery, Police, Shounen"
18121,Teekyuu 2,てーきゅう ２期,https://myanimelist.cdn-dena.com/images/anime/8/73504.jpg,TV,Manga,12,Finished Airing,"Jul 7, 2013 to Sep 22, 2013",2 min. per ep.,PG-13 - Teens 13 or older,6.86,12184,4089.0,2610,MAPPA,"Comedy, School, Shounen, Sports"
1874,Love♥Love? Specials,LOVE♥LOVE?,https://myanimelist.cdn-dena.com/images/anime/7/36569.jpg,Special,Original,4,Finished Airing,"Sep 28, 2004 to Jan 26, 2005",15 min. per ep.,R+ - Mild Nudity,6.14,2250,6966.0,5200,"Imagin, Studio Live","Ecchi, Comedy, Harem, Romance"
5525,07-Ghost,セブンゴースト,https://myanimelist.cdn-dena.com/images/anime/3/22605.jpg,TV,Manga,25,Finished Airing,"Apr 7, 2009 to Sep 22, 2009",23 min. per ep.,PG-13 - Teens 13 or older,7.36,73819,2169.0,552,Studio Deen,"Action, Demons, Fantasy, Josei, Magic, Military"
16381,Santa Company,サンタ・カンパニー,https://myanimelist.cdn-dena.com/images/anime/5/44195.jpg,Movie,Original,1,Finished Airing,"Oct 25, 2014",28 min.,PG - Children,5.86,1448,7676.0,5860,Nexus,Fantasy
1937,Nakoruru: Ano Hito kara no Okurimono,ナコルル ~あのひとからのおくりもの~,https://myanimelist.cdn-dena.com/images/anime/9/10234.jpg,OVA,Game,1,Finished Airing,"May 25, 2002",30 min.,R+ - Mild Nudity,5.53,464,8325.0,7934,Arms,"Fantasy, Supernatural, Historical, Drama"
2363,Pokemon Housoukyoku,ポケモン放送局,https://myanimelist.cdn-dena.com/images/anime/3/21390.jpg,TV,Game,16,Finished Airing,"Dec 3, 2002 to Sep 28, 2004",20 min. per ep.,PG - Children,6.95,9498,3753.0,2788,OLM,"Adventure, Comedy, Kids, Fantasy"
34870,BanG Dream!: Asonjatta!,BanG Dream！ 遊んじゃった！,https://myanimelist.cdn-dena.com/images/anime/13/89692.jpg,Special,Manga,1,Finished Airing,"Nov 22, 2017",23 min.,PG-13 - Teens 13 or older,6.93,1366,3803.0,6053,Xebec,"Music, Slice of Life"
2782,Fire Emblem,ファイアーエムブレム,https://myanimelist.cdn-dena.com/images/anime/11/20028.jpg,OVA,Game,2,Finished Airing,"Jan 26, 1996 to Apr 26, 1996",27 min. per ep.,PG-13 - Teens 13 or older,5.82,3391,7756.0,4206,Studio Fantasia,"Action, Adventure, Fantasy, Magic, Shounen"
54,Appleseed (Movie),アップルシード,https://myanimelist.cdn-dena.com/images/anime/9/57231.jpg,Movie,Manga,1,Finished Airing,"Apr 17, 2004",1 hr. 45 min.,R - 17+ (violence & profanity),7.19,33840,2835.0,1425,Digital Frontier,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen"
32039,Show By Rock!! Short!!,SHOW BY ROCK!! しょ～と!!,https://myanimelist.cdn-dena.com/images/anime/5/78322.jpg,TV,Game,12,Finished Airing,"Jul 5, 2016 to Sep 20, 2016",3 min. per ep.,PG-13 - Teens 13 or older,6.4,3025,6008.0,4031,Bones,"Music, Comedy"
32353,Bonobono (2016),ぼのぼの,https://myanimelist.cdn-dena.com/images/anime/13/77617.jpg,TV,4-koma manga,0,Currently Airing,"Apr 2, 2016 to ?",5 min.,G - All Ages,6.39,377,6022.0,7467,Eiken,Comedy
8491,Digimon Savers 3D: Digital World Kiki Ippatsu!,デジモンセイバーズ3D デジタルワールド危機イッパツ！,https://myanimelist.cdn-dena.com/images/anime/13/22648.jpg,Movie,Original,1,Finished Airing,"Jul 8, 2006",7 min.,PG - Children,6.24,1571,6615.0,5135,Toei Animation,"Action, Adventure, Fantasy, Kids, Supernatural"
1014,Chicchana Yukitsukai Sugar Specials,ちっちゃな雪使いシュガー特別編,https://myanimelist.cdn-dena.com/images/anime/12/23190.jpg,Special,Original,2,Finished Airing,"Aug 21, 2003 to Aug 28, 2003",24 min. per ep.,G - All Ages,7.07,1835,3296.0,5192,J.C.Staff,"Slice of Life, Magic, Comedy, Shoujo"
6075,Ai no Wakakusa Yama Monogatari,愛の若草山物語,https://myanimelist.cdn-dena.com/images/anime/9/13279.jpg,TV,Manga,12,Finished Airing,"Aug 1, 1999 to Oct 1, 1999",4 min. per ep.,G - All Ages,6.34,140,6212.0,9062,Gainax,Comedy
6344,"Shikabane Hime: Kuro – Soredemo, Hito to Shite",屍姫 玄 それでも、人として,https://myanimelist.cdn-dena.com/images/anime/4/73631.jpg,Special,Manga,1,Finished Airing,"Aug 5, 2009",23 min.,R - 17+ (violence & profanity),7.08,4656,3283.0,3533,Gainax,"Action, Adventure, Horror, Supernatural, Drama"
33104,Rance 01: Hikari wo Motomete The Animation - Leazas no Yami,ランス01 光をもとめて THE ANIMATION 映像特典「リーザスの闇」,https://myanimelist.cdn-dena.com/images/anime/9/87978.jpg,Special,Visual novel,1,Finished Airing,"Jan 29, 2016",4 min.,Rx - Hentai,6.31,417,,7566,Seven,Hentai
13643,Imouto Twins,義妹×2 いもうとツインズ,https://myanimelist.cdn-dena.com/images/anime/4/41649.jpg,OVA,Original,1,Finished Airing,"Sep 8, 2006",26 min.,Rx - Hentai,6.06,613,,7091,Y.O.U.C,Hentai
10217,Kaitou Tenshi Twin Angel: Kyun Kyun☆Tokimeki Paradise!!,快盗天使ツインエンジェル 〜キュンキュン☆ときめきパラダイス!!〜,https://myanimelist.cdn-dena.com/images/anime/11/30254.jpg,TV,Game,12,Finished Airing,"Jul 5, 2011 to Sep 20, 2011",24 min. per ep.,PG-13 - Teens 13 or older,6.06,1601,7202.0,4546,J.C.Staff,Magic
424,Dirty Pair,ダーティペア,https://myanimelist.cdn-dena.com/images/anime/2/20673.jpg,TV,Light novel,24,Finished Airing,"Jul 15, 1985 to Dec 26, 1985",25 min. per ep.,PG-13 - Teens 13 or older,7.21,3027,2771.0,3300,Sunrise,"Adventure, Comedy, Police, Sci-Fi"
